step,loss,lr,tokens_per_sec
23500,1.142952,0.00030000,185192.42
23600,1.194527,0.00030000,185242.47
23700,1.109996,0.00030000,185295.43
23800,1.181839,0.00030000,185362.55
23900,1.170158,0.00030000,185426.51
24000,1.195292,0.00030000,185505.03
24100,1.188196,0.00030000,185588.95
24200,1.153867,0.00030000,185647.12
24300,1.160654,0.00030000,185715.67
24400,1.144222,0.00030000,185796.71
24500,1.078964,0.00030000,185866.12
24600,1.124169,0.00030000,185943.56
24700,1.144303,0.00030000,186021.74
24800,1.141228,0.00030000,186090.48
24900,1.194805,0.00030000,186171.25
25000,1.132471,0.00030000,186224.17
25100,1.090133,0.00030000,186298.87
25200,1.202879,0.00030000,186365.87
25300,1.126971,0.00030000,186435.97
25400,1.120920,0.00030000,186499.69
25500,1.161986,0.00030000,186557.16
25600,1.113965,0.00030000,186624.84
25700,1.158826,0.00030000,186699.93
25800,1.177735,0.00030000,186765.62
25900,1.137243,0.00030000,186839.00
26000,1.162825,0.00030000,186909.75
26100,1.120102,0.00030000,186967.23
26200,1.096112,0.00030000,187031.46
26300,1.131244,0.00030000,187098.31
26400,1.169917,0.00030000,187154.28
26500,1.137490,0.00030000,187207.36
26600,1.085747,0.00030000,187263.75
26700,1.181889,0.00030000,187329.25
26800,1.104170,0.00030000,187382.56
26900,1.145476,0.00030000,187433.95
27000,1.239599,0.00030000,187481.42
27100,1.202244,0.00030000,187538.89
27200,1.119264,0.00030000,187596.50
27300,1.143140,0.00030000,187643.68
27400,1.119534,0.00030000,187694.62
27500,1.204098,0.00030000,187750.97
27600,1.072354,0.00030000,187804.13
27700,1.133978,0.00030000,187856.24
27800,1.145311,0.00030000,187917.06
27900,1.161914,0.00030000,187976.34
28000,1.117458,0.00029999,188030.72
28100,1.120062,0.00029999,188077.07
28200,1.140546,0.00029999,188126.94
28300,1.168229,0.00029999,188179.22
28400,1.163279,0.00029999,188237.58
28500,1.253402,0.00029999,188289.61
28600,1.148505,0.00029999,188347.66
28700,1.095764,0.00029999,188396.58
28800,1.118744,0.00029999,188419.63
28900,1.129311,0.00029999,188471.34
29000,1.159723,0.00029999,188514.22
29100,1.048215,0.00029999,188562.90
29200,1.153565,0.00029999,188606.44
29300,1.168307,0.00029999,188655.98
29400,1.207734,0.00029999,188701.38
29500,1.139687,0.00029999,188746.34
29600,1.124080,0.00029999,188801.75
29700,1.136450,0.00029999,188848.75
29800,1.184127,0.00029999,188890.64
29900,1.204392,0.00029999,188939.26
30000,1.064819,0.00029999,188984.22
30100,1.098851,0.00029999,189040.90
30200,1.120955,0.00029999,189081.30
30300,1.095402,0.00029999,189124.09
30400,1.085664,0.00029999,189179.52
30500,1.112551,0.00029999,189232.96
30600,1.136146,0.00029999,189275.90
30700,1.154984,0.00029999,189322.86
30800,1.164125,0.00029999,189372.14
30900,1.143767,0.00029999,189422.99
31000,1.048411,0.00029999,189469.85
31100,1.179928,0.00029999,189511.82
31200,1.155759,0.00029999,189552.33
31300,1.201277,0.00029999,189571.80
31400,1.125522,0.00029999,189611.40
31500,1.179573,0.00029999,189651.89
31600,1.185515,0.00029999,189693.73
31700,1.133383,0.00029999,189737.25
31800,1.135258,0.00029999,189776.86
31900,1.157957,0.00029999,189809.02
32000,1.165014,0.00029999,189849.78
32100,1.163693,0.00029999,189880.56
32200,1.067810,0.00029999,189920.75
32300,1.131300,0.00029999,189965.63
32400,1.090885,0.00029999,190010.59
32500,1.133331,0.00029999,190052.32
32600,1.166530,0.00029999,190084.88
32700,1.156277,0.00029999,190130.88
32800,1.176215,0.00029999,190174.37
32900,1.068520,0.00029999,190221.11
33000,1.159693,0.00029999,190267.50
33100,1.082661,0.00029999,190312.18
33200,1.117599,0.00029999,190357.31
33300,1.160106,0.00029999,190387.89
33400,1.159489,0.00029999,190423.63
33500,1.172605,0.00029999,190467.36
33600,1.166166,0.00029999,190503.01
33700,1.174380,0.00029999,190549.48
33800,1.114105,0.00029999,190591.81
33900,1.079248,0.00029999,190631.13
34000,1.136825,0.00029999,190669.47
34100,1.132651,0.00029999,190700.07
34200,1.123791,0.00029999,190731.16
34300,1.205144,0.00029999,190762.92
34400,1.148417,0.00029999,190800.34
34500,1.081793,0.00029999,190837.66
34600,1.024068,0.00029999,190881.20
34700,1.132761,0.00029999,190916.01
34800,1.146078,0.00029999,190960.93
34900,1.107545,0.00029999,190996.96
35000,1.142332,0.00029999,191038.10
35100,1.208958,0.00029999,191077.58
35200,1.199172,0.00029999,191095.20
35300,1.126424,0.00029999,191126.36
35400,1.110318,0.00029999,191166.44
35500,1.065623,0.00029999,191202.82
35600,1.114799,0.00029999,191238.65
35700,1.085438,0.00029999,191275.82
35800,1.126768,0.00029999,191320.51
35900,1.129448,0.00029999,191354.57
36000,1.163007,0.00029999,191389.35
36100,1.152679,0.00029999,191421.48
36200,1.112719,0.00029999,191459.53
36300,1.050896,0.00029999,191500.91
36400,1.151450,0.00029999,191526.93
36500,1.140784,0.00029999,191555.16
36600,1.152857,0.00029999,191590.55
36700,1.070755,0.00029999,191626.00
36800,1.138539,0.00029999,191662.31
36900,1.033841,0.00029999,191692.15
37000,1.157222,0.00029999,191728.66
37100,1.103095,0.00029999,191755.05
37200,1.104503,0.00029999,191790.70
37300,1.079904,0.00029999,191821.85
37400,1.133948,0.00029999,191851.36
37500,1.154644,0.00029999,191884.76
37600,1.082049,0.00029999,191909.61
37700,1.125046,0.00029999,191944.48
37800,1.122821,0.00029999,191980.62
37900,1.131657,0.00029999,192010.44
38000,1.136617,0.00029999,192042.60
38100,1.093451,0.00029999,192076.43
38200,1.056080,0.00029999,192109.88
38300,1.153420,0.00029999,192131.44
38400,1.138460,0.00029999,192160.07
38500,1.077161,0.00029999,192188.13
38600,1.171266,0.00029999,192211.41
38700,1.105590,0.00029999,192244.42
38800,1.128265,0.00029999,192276.44
38900,1.062661,0.00029999,192298.22
39000,1.095526,0.00029999,192326.54
39100,1.135817,0.00029999,192356.83
39200,1.066940,0.00029999,192388.04
39300,1.157046,0.00029999,192416.53
39400,1.071440,0.00029999,192442.98
39500,1.083593,0.00029999,192461.09
39600,1.086000,0.00029999,192484.45
39700,1.083535,0.00029999,192510.69
39800,1.119815,0.00029999,192541.89
39900,1.081615,0.00029999,192564.66
40000,1.176659,0.00029999,192591.56
40100,1.068915,0.00029999,192624.27
40200,1.086418,0.00029999,192655.02
40300,1.084546,0.00029999,192678.26
40400,1.139214,0.00029999,192696.83
40500,1.107264,0.00029999,192725.68
40600,1.095756,0.00029999,192753.63
40700,1.106839,0.00029999,192784.88
40800,1.104871,0.00029999,192815.43
40900,1.125290,0.00029999,192843.05
41000,1.078869,0.00029999,192871.39
41100,1.138251,0.00029999,192900.98
41200,1.058603,0.00029999,192924.62
41300,1.116498,0.00029999,192947.64
41400,1.104602,0.00029999,192979.29
41500,1.084929,0.00029999,193009.47
41600,1.112806,0.00029999,193034.59
41700,1.067944,0.00029999,193053.50
41800,1.090371,0.00029999,193072.52
